ID,Status,Post,DD,MM,YYYY
2438,Active,?????,15,10,2013
2439,Active,?????,??,??,????
2440,Active,?????,15,10,2013
2441,Active,?????,15,10,2013
2442,Active,?????,15,10,2013
2443,Active,?????,15,10,2013
2444,Active,?????,15,10,2013
2445,Active,?????,31,10,2013
2446,Active,?????,01,11,2013
2447,Active,?????,01,11,2013
2448,Active,?????,01,11,2013
2449,Active,?????,01,11,2013
2450,Active,?????,01,11,2013
2451,Active,?????,01,11,2013
2452,Active,?????,12,11,2013
2453,Active,?????,12,11,2013
2454,Active,?????,13,11,2013
2455,Active,?????,18,11,2013
2456,Active,?????,01,12,2013
2457,Active,?????,03,12,2013
2458,Active,?????,02,12,2013
2459,Active,?????,04,12,2013
2460,Active,?????,05,12,2013
2461,Active,?????,07,12,2013
2462,Active,?????,08,12,2013
2463,Active,?????,09,12,2013
2464,Active,?????,10,12,2013
2465,Active,?????,11,12,2013
2466,Active,?????,12,12,2013
2467,Active,?????,13,12,2013
2468,Active,?????,14,12,2013
2469,Active,?????,15,12,2013
2470,Active,?????,16,12,2013
2471,Active,?????,17,12,2013
2472,Active,?????,18,12,2013
2473,Active,?????,19,12,2013
2474,Active,?????,20,12,2013
2475,Active,?????,??,??,????
2476,Active,?????,??,??,????
2477,Active,?????,01,12,2013
2478,Active,?????,01,12,2013
2479,Active,?????,01,12,2013
2480,Active,?????,01,12,2013
2481,Active,?????,01,12,2013
2482,Active,?????,01,12,2013
2483,Active,?????,01,12,2013
2484,Active,?????,01,12,2013
2485,Active,?????,01,12,2013
2486,Inactive,00000,00,00,0000
2487,Active,?????,08,12,2013
2488,Active,?????,??,??,????
2489,Active,?????,11,12,2013
2490,Active,?????,11,12,2013
2491,Inactive,00000,00,00,0000
2492,Active,?????,07,01,2014
2493,Active,?????,01,01,2014
2494,Active,?????,01,01,2014
2495,Active,?????,01,01,2014
2496,Active,?????,01,01,2014
2497,Active,?????,01,01,2014
2498,Active,?????,01,01,2014
2499,Active,?????,01,01,2014
2500,Active,?????,07,01,2014
2501,Inactive,00000,00,00,0000
2502,Inactive,00000,00,00,0000
2503,Active,?????,01,02,2014
2504,Active,?????,01,02,2014
2505,Active,?????,01,02,2014
2506,Active,?????,01,02,2014
2507,Active,?????,01,02,2014
2508,Active,?????,01,02,2014
2509,Active,?????,01,02,2014
2510,Active,?????,01,02,2014
2511,Active,?????,01,02,2014
2512,Active,?????,01,02,2014
2513,Active,?????,14,02,2014
2514,Inactive,00000,00,00,0000
2515,Active,?????,01,02,2014
2516,Active,?????,01,02,2014
